LGA CODE (ABS),LGA NAME (CRIME STATS OFFICE),LGA NAME (CP DATABASE),LGA NAME (ABS),REGION,FUNCTIONAL ECONOMIC AREA,LGA TYPE,PARTNERSHIP NAME,SECTION OF STATE,LGA TYPE (ABS),LGA DIVISION,DHHS AREA
20110,Alpine,Alpine,Alpine (S),Hume,Central Hume,Rural Victoria,Ovens Murray,Regional Victoria,Shires,East Division,Ovens Murray
20260,Ararat,Ararat,Ararat (RC),Central Highlands,Ararat,Rural Victoria,Central Highlands,Regional Victoria,Rural Cities,West Division,Central Highlands
20570,Ballarat,Ballarat,Ballarat (C),Central Highlands,Ballarat and Surrounds,Regional Cities,Central Highlands,Regional Victoria,Cities,West Division,Central Highlands
20660,Banyule,Banyule,Banyule (C),Melbourne,North Eastern Melbourne,Metropolitan Melbourne (Inner-Middle),Northern Metro,Metropolitan Melbourne,Cities,North Division,North Eastern Melbourne
20740,Bass Coast,Bass Coast,Bass Coast (S),Gippsland,Gippsland South,Melbourne Peri-urban,Gippsland,Regional Victoria,Shires,South Division,Inner Gippsland
20830,Baw Baw,Baw Baw,Baw Baw (S),Gippsland,Gippsland Latrobe,Melbourne Peri-urban,Gippsland,Regional Victoria,Shires,South Division,Inner Gippsland
20910,Bayside,Bayside,Bayside (C),Melbourne,Southern Melbourne,Metropolitan Melbourne (Inner-Middle),Inner South-East,Metropolitan Melbourne,Cities,South Division,Bayside Peninsula
21010,Benalla,Benalla,Benalla (RC),Hume,Central Hume,Rural Victoria,Ovens Murray,Regional Victoria,Rural Cities,East Division,Ovens Murray
21110,Boroondara,Boroondara,Boroondara (C),Melbourne,Inner Eastern Melbourne,Metropolitan Melbourne (Inner-Middle),Inner South-East,Metropolitan Melbourne,Cities,East Division,Inner Eastern Melbourne
21180,Brimbank,Brimbank,Brimbank (C),Melbourne,Outer Western Melbourne,Metropolitan Melbourne (Inner-Middle),Western,Metropolitan Melbourne,Cities,West Division,Brimbank Melton
21270,Buloke,Buloke,Buloke (S),Loddon Mallee North,Buloke LMN,Rural Victoria,Mallee,Regional Victoria,Shires,North Division,Mallee
21370,Campaspe,Campaspe,Campaspe (S),Loddon Mallee North,Campaspe LMN,Rural Victoria,Loddon Campaspe,Regional Victoria,Shires,North Division,Loddon
21450,Cardinia,Cardinia,Cardinia (S),Melbourne,South Eastern Melbourne,Metropolitan Melbourne (Growth Areas),Southern,Metropolitan Melbourne,Shires,South Division,Southern Melbourne
21610,Casey,Casey,Casey (C),Melbourne,South Eastern Melbourne,Metropolitan Melbourne (Growth Areas),Southern,Metropolitan Melbourne,Cities,South Division,Southern Melbourne
21670,Central Goldfields,Central Goldfields,Central Goldfields (S),Loddon Mallee South,Central Goldfields,Rural Victoria,Loddon Campaspe,Regional Victoria,Shires,North Division,Loddon
21750,Colac-Otway,Colac Otway,Colac-Otway (S),G21,Colac Otway,Rural Victoria,Barwon,Regional Victoria,Shires,West Division,Barwon
21830,Corangamite,Corangamite,Corangamite (S),Great South Coast,Warrnambool and Surrounds,Rural Victoria,Great South Coast,Regional Victoria,Shires,West Division,Western District
21890,Darebin,Darebin,Darebin (C),Melbourne,North Eastern Melbourne,Metropolitan Melbourne (Inner-Middle),Northern Metro,Metropolitan Melbourne,Cities,North Division,North Eastern Melbourne
22110,East Gippsland,East Gippsland,East Gippsland (S),Gippsland,Gippsland East,Rural Victoria,Gippsland,Regional Victoria,Shires,South Division,Outer Gippsland
22170,Frankston,Frankston,Frankston (C),Melbourne,Mornington Peninsula,Metropolitan Melbourne (Inner-Middle),Southern,Metropolitan Melbourne,Cities,South Division,Bayside Peninsula
22250,Gannawarra,Gannawarra,Gannawarra (S),Loddon Mallee North,Gannawarra LMN,Rural Victoria,Mallee,Regional Victoria,Shires,North Division,Mallee
22310,Glen Eira,Glen Eira,Glen Eira (C),Melbourne,Southern Melbourne,Metropolitan Melbourne (Inner-Middle),Inner South-East,Metropolitan Melbourne,Cities,South Division,Bayside Peninsula
22410,Glenelg,Glenelg,Glenelg (S),Great South Coast,Glenelg,Rural Victoria,Great South Coast,Regional Victoria,Shires,West Division,Western District
22490,Golden Plains,Golden Plains,Golden Plains (S),G21,Golden Plains,Rural Victoria,Central Highlands,Regional Victoria,Shires,West Division,Central Highlands
22620,Greater Bendigo,Greater Bendigo,Greater Bendigo (C),Loddon Mallee South,Bendigo and Surrounds,Regional Cities,Loddon Campaspe,Regional Victoria,Cities,North Division,Loddon
22670,Greater Dandenong,Greater Dandenong,Greater Dandenong (C),Melbourne,South Eastern Melbourne,Metropolitan Melbourne (Inner-Middle),Southern,Metropolitan Melbourne,Cities,South Division,Southern Melbourne
22750,Greater Geelong,Greater Geelong,Greater Geelong (C),G21,Geelong and Surrounds,Regional Cities,Barwon,Regional Victoria,Cities,West Division,Barwon
22830,Greater Shepparton,Greater Shepparton,Greater Shepparton (C),Hume,Goulburn Valley,Regional Cities,Goulburn,Regional Victoria,Cities,East Division,Goulburn
22910,Hepburn,Hepburn,Hepburn (S),Central Highlands,Ballarat and Surrounds,Rural Victoria,Central Highlands,Regional Victoria,Shires,West Division,Central Highlands
22980,Hindmarsh,Hindmarsh,Hindmarsh (S),Wimmera Southern Mallee,Hindmarsh WSM,Rural Victoria,Wimmera Southern Mallee,Regional Victoria,Shires,West Division,Western District
23110,Hobsons Bay,Hobsons Bay,Hobsons Bay (C),Melbourne,Outer Western Melbourne,Metropolitan Melbourne (Inner-Middle),Western,Metropolitan Melbourne,Cities,West Division,Western Melbourne
23190,Horsham,Horsham,Horsham (RC),Wimmera Southern Mallee,Horsham WSM,Regional Cities,Wimmera Southern Mallee,Regional Victoria,Rural Cities,West Division,Western District
23270,Hume,Hume,Hume (C),Melbourne,North Western Melbourne,Metropolitan Melbourne (Growth Areas),Northern Metro,Metropolitan Melbourne,Cities,North Division,Hume Moreland
23350,Indigo,Indigo,Indigo (S),Hume,Upper Hume,Rural Victoria,Ovens Murray,Regional Victoria,Shires,East Division,Ovens Murray
23430,Kingston,Kingston,Kingston (C),Melbourne,Southern Melbourne,Metropolitan Melbourne (Inner-Middle),Southern,Metropolitan Melbourne,Cities,South Division,Bayside Peninsula
23670,Knox,Knox,Knox (C),Melbourne,Outer Eastern Melbourne,Metropolitan Melbourne (Inner-Middle),Eastern,Metropolitan Melbourne,Cities,East Division,Outer Eastern Melbourne
23810,Latrobe,Latrobe,Latrobe (C),Gippsland,Gippsland Latrobe,Regional Cities,Gippsland,Regional Victoria,Cities,South Division,Inner Gippsland
23940,Loddon,Loddon,Loddon (S),Loddon Mallee South,Bendigo and Surrounds,Rural Victoria,Loddon Campaspe,Regional Victoria,Shires,North Division,Loddon
24130,Macedon Ranges,Macedon Ranges,Macedon Ranges (S),Loddon Mallee South,Macedon Ranges,Melbourne Peri-urban,Loddon Campaspe,Regional Victoria,Shires,North Division,Loddon
24210,Manningham,Manningham,Manningham (C),Melbourne,Inner Eastern Melbourne,Metropolitan Melbourne (Inner-Middle),Eastern,Metropolitan Melbourne,Cities,East Division,Inner Eastern Melbourne
24250,Mansfield,Mansfield,Mansfield (S),Hume,Central Hume,Rural Victoria,Ovens Murray,Regional Victoria,Shires,East Division,Ovens Murray
24330,Maribyrnong,Maribyrnong,Maribyrnong (C),Melbourne,Outer Western Melbourne,Metropolitan Melbourne (Inner-Middle),Western,Metropolitan Melbourne,Cities,West Division,Western Melbourne
24410,Maroondah,Maroondah,Maroondah (C),Melbourne,Outer Eastern Melbourne,Metropolitan Melbourne (Inner-Middle),Eastern,Metropolitan Melbourne,Cities,East Division,Outer Eastern Melbourne
